<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.06.19	17:00:00	109119.40	109514.73	108513.24	109054.21	1800	0	3098
2025.06.19	18:00:00	109042.98	109506.88	108483.98	109361.77	1800	0	3098
2025.06.19	19:00:00	109329.28	109535.17	108189.06	108475.18	1800	0	3098
2025.06.19	20:00:00	108472.21	108780.57	107670.70	107990.18	1800	0	3098
2025.06.19	21:00:00	108015.45	108367.17	106945.95	107320.60	1800	0	3098
2025.06.19	22:00:00	107325.50	108779.50	107100.29	108713.33	1800	0	3098
2025.06.19	23:00:00	108728.64	109150.41	107651.99	108568.49	1800	0	3098
2025.06.20	00:00:00	108562.33	110821.61	108263.04	110807.79	1799	0	3098
2025.06.20	01:00:00	110806.29	110992.68	109559.84	109559.84	1800	0	3098
2025.06.20	02:00:00	109540.37	110541.22	108974.88	110039.73	1800	0	3098
2025.06.20	03:00:00	110050.91	110652.88	109543.67	109870.78	1799	0	3098
2025.06.20	04:00:00	109850.84	110913.83	109624.19	110283.52	1800	0	3098
2025.06.20	05:00:00	110299.44	111333.74	110290.90	110812.60	1799	0	3098
2025.06.20	06:00:00	110758.48	110850.75	109482.48	109945.41	1800	0	3098
2025.06.20	07:00:00	109921.87	111403.69	109866.73	110916.40	1800	0	3098
2025.06.20	08:00:00	110912.35	111766.83	110466.67	110513.84	1800	0	3098
2025.06.20	09:00:00	110503.10	110869.58	109832.76	109877.10	1799	0	3098
2025.06.20	10:00:00	109853.40	109934.06	108340.93	108821.10	1800	0	3098
2025.06.20	11:00:00	108826.03	109578.68	108620.35	109478.12	1800	0	3098
2025.06.20	12:00:00	109457.14	109584.99	108311.96	108937.51	1800	0	3098
2025.06.20	13:00:00	108969.79	110731.16	108545.84	109570.71	1800	0	3098
2025.06.20	14:00:00	109571.96	109693.32	108300.50	108577.49	1799	0	3098
2025.06.20	15:00:00	108593.01	109257.66	108047.90	108322.57	1800	0	3098
2025.06.20	16:00:00	108335.38	108410.79	106895.28	107437.35	1800	0	3098
2025.06.20	17:00:00	107430.69	109070.25	107406.30	108948.04	1799	0	3098
2025.06.20	18:00:00	108932.66	109546.50	108079.76	108099.68	1799	0	3098
2025.06.20	19:00:00	108081.16	108525.04	107605.23	107706.50	1800	0	3098
2025.06.20	20:00:00	107669.02	108003.87	107190.49	107615.56	1800	0	3098
2025.06.20	21:00:00	107622.79	109368.41	107245.10	109108.78	1799	0	3098
2025.06.20	22:00:00	109110.42	109424.06	108183.75	108509.44	1800	0	3098
2025.06.20	23:00:00	108507.40	109566.04	108430.68	109287.07	1800	0	3098
2025.06.21	00:00:00	109269.71	110399.95	109147.99	109475.58	1799	0	3098
2025.06.21	01:00:00	109484.83	111024.22	109432.47	110948.54	1800	0	3098
2025.06.21	02:00:00	110953.19	111037.37	109888.26	110008.28	1798	0	3098
2025.06.21	03:00:00	109968.97	110281.92	108906.42	109873.42	1800	0	3098
2025.06.21	04:00:00	109861.22	110227.58	109267.59	109676.58	1800	0	3098
2025.06.21	05:00:00	109706.54	110796.08	109683.99	109861.02	1800	0	3098
2025.06.21	06:00:00	109844.24	110255.50	108784.78	108825.26	1799	0	3098
2025.06.21	07:00:00	108782.42	109111.42	107896.01	108516.47	1800	0	3098
2025.06.21	08:00:00	108502.79	109214.04	108235.52	108430.42	1800	0	3098
2025.06.21	09:00:00	108442.67	109578.29	108156.57	108756.94	1799	0	3098
2025.06.21	10:00:00	108776.19	109245.10	108284.38	108618.89	1800	0	3098
2025.06.21	11:00:00	108585.15	108833.01	107529.51	107551.20	1800	0	3098
2025.06.21	12:00:00	107523.12	108014.94	105941.59	106167.45	1800	0	3098
2025.06.21	13:00:00	106194.06	107589.35	105942.97	107500.32	1800	0	3098
2025.06.21	14:00:00	107487.87	108543.61	107420.61	108183.92	1800	0	3098
2025.06.21	15:00:00	108188.99	109026.46	108138.07	108723.99	1799	0	3098
2025.06.21	16:00:00	108720.66	109779.07	108458.78	108851.90	1799	0	3098
2025.06.21	17:00:00	108845.21	108974.30	107690.95	108870.62	1800	0	3098
2025.06.21	18:00:00	108844.16	109137.05	107969.16	108012.39	1800	0	3098
2025.06.21	19:00:00	107991.79	108509.10	107557.40	108004.17	1799	0	3098
2025.06.21	20:00:00	107978.42	108021.52	106166.61	107589.46	1800	0	3098
2025.06.21	21:00:00	107588.88	107717.41	106661.69	107441.58	1800	0	3098
2025.06.21	22:00:00	107447.34	107854.09	106855.99	107544.56	1800	0	3098
2025.06.21	23:00:00	107540.64	108678.10	107321.62	108151.87	1799	0	3098
2025.06.22	00:00:00	108144.04	108441.99	106505.34	106594.37	1800	0	3098
2025.06.22	01:00:00	106589.94	106680.63	105489.10	105891.17	1799	0	3098
2025.06.22	02:00:00	105873.17	106754.85	105292.90	106573.19	1787	0	3098
2025.06.22	03:00:00	106559.02	107817.39	106559.02	107559.68	1800	0	3098
2025.06.22	04:00:00	107535.53	108788.75	107376.12	108765.49	1799	0	3098
2025.06.22	05:00:00	108766.82	109553.29	108215.55	109144.54	1800	0	3098
2025.06.22	06:00:00	109154.93	109250.66	108512.19	108562.21	1800	0	3098
2025.06.22	07:00:00	108574.63	108627.31	106756.86	107183.52	1800	0	3098
2025.06.22	08:00:00	107202.25	107351.78	106376.03	106478.00	1800	0	3098
2025.06.22	09:00:00	106505.36	107565.98	106404.86	106509.75	1799	0	3098
2025.06.22	10:00:00	106500.17	107898.31	106160.09	107584.32	1800	0	3098
2025.06.22	11:00:00	107595.73	108324.92	107363.54	108167.75	1799	0	3098
2025.06.22	12:00:00	108149.91	109445.22	107912.37	109292.54	1799	0	3098
2025.06.22	13:00:00	109277.32	109674.67	108880.51	109507.05	1800	0	3098
2025.06.22	14:00:00	109468.81	109787.09	108670.92	109377.53	1800	0	3098
2025.06.22	15:00:00	109362.60	110333.85	109316.32	109922.29	1800	0	3098
2025.06.22	16:00:00	109923.86	112761.09	109664.08	112716.85	1799	0	3098
2025.06.22	17:00:00	112695.85	113201.93	112393.31	112393.31	1798	0	3098
2025.06.22	18:00:00	112417.66	112832.19	110889.20	111047.23	1800	0	3098
2025.06.22	19:00:00	111005.68	112716.49	110786.14	112626.16	1800	0	3098
2025.06.22	20:00:00	112606.30	113469.81	112107.10	113207.45	1799	0	3098
2025.06.22	21:00:00	113161.89	113343.48	112038.92	112700.80	1800	0	3098
2025.06.22	22:00:00	112676.28	113413.43	112217.62	113150.45	1800	0	3098
2025.06.22	23:00:00	113173.96	114096.90	112884.46	113074.14	1800	0	3098
2025.06.23	00:00:00	113102.61	114058.80	112846.73	113601.69	1800	0	3098
2025.06.23	01:00:00	113611.67	114499.64	113314.37	114274.66	1798	0	3098
2025.06.23	02:00:00	114255.42	114301.02	111948.49	112392.46	1800	0	3098
2025.06.23	03:00:00	112396.46	113738.83	112196.26	113011.17	1800	0	3098
2025.06.23	04:00:00	113018.06	113022.14	111174.89	111693.83	1799	0	3098
2025.06.23	05:00:00	111686.01	112604.77	110410.17	110637.96	1800	0	3098
2025.06.23	06:00:00	110669.67	110841.53	109405.63	110286.15	1799	0	3098
2025.06.23	07:00:00	110286.43	110655.81	109732.15	109732.15	1800	0	3098
2025.06.23	08:00:00	109727.98	110506.11	109711.34	109753.40	1800	0	3098
2025.06.23	09:00:00	109735.72	110743.44	109196.81	110543.54	1800	0	3098
2025.06.23	10:00:00	110509.86	111845.48	110388.43	111563.30	1800	0	3098
2025.06.23	11:00:00	111533.43	112214.37	111148.82	111863.76	1799	0	3098
2025.06.23	12:00:00	111886.36	112031.04	111064.05	111358.76	1800	0	3098
2025.06.23	13:00:00	111351.30	112705.66	111243.91	112191.68	1800	0	3098
2025.06.23	14:00:00	112175.48	113136.23	112008.89	112472.84	1799	0	3098
2025.06.23	15:00:00	112473.85	112507.59	110870.30	110962.11	1799	0	3098
2025.06.23	16:00:00	110944.94	111135.69	110001.19	110170.91	1800	0	3098
2025.06.23	17:00:00	110185.54	110678.10	108791.49	109267.03	1797	0	3098
2025.06.23	18:00:00	109327.94	110575.36	109269.22	110339.67	1800	0	3098
2025.06.23	19:00:00	110309.16	111039.67	109747.74	110234.75	1800	0	3098
2025.06.23	20:00:00	110256.54	110346.09	108731.44	109654.39	1800	0	3098
2025.06.23	21:00:00	109643.99	109783.78	109091.93	109208.75	1800	0	3098
2025.06.23	22:00:00	109193.18	109968.90	109008.43	109828.26	1799	0	3098
2025.06.23	23:00:00	109844.57	110536.71	108643.68	108937.36	1800	0	3098
2025.06.24	00:00:00	108944.47	110039.01	108900.21	109832.85	1800	0	3098
2025.06.24	01:00:00	109849.56	110277.10	109329.93	109416.08	1800	0	3098
2025.06.24	02:00:00	109365.41	110001.78	109111.79	109780.86	1799	0	3098
2025.06.24	03:00:00	109787.61	111070.36	109471.20	110201.53	1800	0	3098
2025.06.24	04:00:00	110188.68	110207.34	108347.88	108480.76	1800	0	3098
2025.06.24	05:00:00	108503.42	109342.08	107639.17	108045.25	1800	0	3098
2025.06.24	06:00:00	108031.96	109072.79	107915.28	108562.38	1799	0	3098
2025.06.24	07:00:00	108520.57	108930.80	107784.84	108351.71	1799	0	3098
2025.06.24	08:00:00	108377.27	109041.69	107374.84	107581.70	1800	0	3098
2025.06.24	09:00:00	107601.56	108232.63	106499.30	106660.24	1800	0	3098
2025.06.24	10:00:00	106685.48	106914.79	105949.35	106712.49	1800	0	3098
2025.06.24	11:00:00	106706.50	108536.90	106481.56	108328.95	1798	0	3098
2025.06.24	12:00:00	108305.82	108842.15	107881.11	108660.50	1799	0	3098
2025.06.24	13:00:00	108689.31	108689.31	106940.88	107683.14	1800	0	3098
2025.06.24	14:00:00	107682.18	107961.20	106781.16	107567.00	1799	0	3098
2025.06.24	15:00:00	107586.71	107664.30	106531.76	107172.87	1800	0	3098
2025.06.24	16:00:00	107175.03	108036.26	106612.86	106716.37	1800	0	3098
2025.06.24	17:00:00	106725.18	107635.76	106459.04	107116.60	1800	0	3098
2025.06.24	18:00:00	107110.13	107141.40	105543.98	105779.64	1800	0	3098
2025.06.24	19:00:00	105762.95	105993.15	105044.31	105281.52	1800	0	3098
2025.06.24	20:00:00	105344.78	106310.92	104976.08	105912.65	1800	0	3098
2025.06.24	21:00:00	105872.42	106085.99	105149.49	105390.71	1800	0	3098
2025.06.24	22:00:00	105400.03	105592.77	103560.84	103573.49	1800	0	3098
2025.06.24	23:00:00	103529.17	104392.60	103260.80	103971.79	1800	0	3098
2025.06.25	00:00:00	103963.91	104050.24	101703.19	101708.49	1799	0	3098
2025.06.25	01:00:00	101717.09	102388.90	101059.07	101362.28	1800	0	3098
2025.06.25	02:00:00	101337.67	102518.65	101234.58	102083.82	1800	0	3098
2025.06.25	03:00:00	102054.28	102202.11	100664.45	100817.61	1800	0	3098
2025.06.25	04:00:00	100814.02	101498.84	100587.74	101299.78	1799	0	3098
2025.06.25	05:00:00	101311.31	103071.47	100817.82	103069.96	1800	0	3098
2025.06.25	06:00:00	103050.74	103233.26	102338.43	103132.50	1800	0	3098
2025.06.25	07:00:00	103139.05	103550.92	101736.67	102021.28	1800	0	3098
2025.06.25	08:00:00	102030.20	102183.79	101288.69	102130.25	1800	0	3098
2025.06.25	09:00:00	102136.60	103296.91	101908.94	102870.14	1799	0	3098
2025.06.25	10:00:00	102860.16	103195.57	101615.10	102183.52	1800	0	3098
2025.06.25	11:00:00	102193.57	102331.76	100819.26	101444.51	1799	0	3098
2025.06.25	12:00:00	101422.32	101504.74	100148.88	100337.59	1800	0	3098
2025.06.25	13:00:00	100345.18	100622.94	99391.80	100017.80	1800	0	3098
2025.06.25	14:00:00	99992.26	101792.20	99877.99	101063.00	1800	0	3098
2025.06.25	15:00:00	101093.36	101622.07	100559.67	101245.94	1800	0	3098
2025.06.25	16:00:00	101242.48	102308.40	100379.20	102304.43	1800	0	3098
2025.06.25	17:00:00	102310.31	102404.28	101412.23	101412.23	1800	0	3098
2025.06.25	18:00:00	101406.75	102337.43	101123.80	102211.66	1800	0	3098
2025.06.25	19:00:00	102202.95	102689.74	101118.90	102451.81	1799	0	3098
2025.06.25	20:00:00	102459.05	102792.69	101663.37	102703.98	1800	0	3098
2025.06.25	21:00:00	102687.62	102913.82	101331.26	102316.48	1800	0	3098
2025.06.25	22:00:00	102315.84	102705.18	101521.08	101796.18	1800	0	3098
2025.06.25	23:00:00	101798.65	101865.87	100634.47	100874.49	1798	0	3098
2025.06.26	00:00:00	100841.80	101925.08	100768.72	101925.08	1800	0	3098
2025.06.26	01:00:00	101894.17	102475.28	101795.15	102292.22	1800	0	3098
2025.06.26	02:00:00	102307.54	102981.72	102286.48	102640.08	1800	0	3098
2025.06.26	03:00:00	102629.74	103523.36	102393.89	102393.89	1800	0	3098
2025.06.26	04:00:00	102357.80	103336.71	102055.82	103069.23	1798	0	3098
2025.06.26	05:00:00	103044.36	103162.32	101829.47	102355.44	1800	0	3098
2025.06.26	06:00:00	102372.05	102372.05	100959.36	101644.13	1800	0	3098
2025.06.26	07:00:00	101610.38	102384.74	101120.40	101417.57	1800	0	3098
2025.06.26	08:00:00	101446.37	101883.35	101184.43	101665.69	1800	0	3098
2025.06.26	09:00:00	101691.23	101862.21	100259.30	100624.16	1800	0	3098
2025.06.26	10:00:00	100627.78	101928.28	100512.97	101619.00	1798	0	3098
